beta,T,lnZ,E_avg,S,F,Cv
0.35822318911286505,2.7915557406445033,1661.906353495444,20702.353896544013,9077.969588458589,-4639.30422151378,38836.02803002759
0.3893111167299053,2.568639725471225,1142.758730981773,13314.454522685413,6326.22388985797,-2935.3354730288665,27818.700268235258
0.4230969691962993,2.3635243757466906,781.6419250912977,8478.656530527714,4368.935806013984,-1847.4297430588508,19639.422748473404
0.45981488236640256,2.174788242724062,532.7106308696407,5355.682333742042,2995.333073151058,-1158.5328167894124,13696.16517011309
0.4997193112662882,2.001123385578198,362.36036191459783,3361.312455127668,2042.0731069417923,-725.1277942338811,9456.24252438165
0.5430867934662995,1.8413263073797312,246.45079742035273,2099.1569970026417,1386.4752399048639,-453.79633676480825,6476.949551989719
0.590217865485569,1.694289614865022,167.92688939694054,1306.0835398168197,938.80072841346,-284.51678476182354,4408.680710546378
0.6414391455091754,1.5589943442042324,114.89911712464354,810.5216382655232,634.7994241903776,-179.12707375137893,2986.443409305366
0.6971055968511699,1.4345028995850928,79.16545794349683,502.17786700483083,429.23645964734686,-113.56307896692793,2015.686934576024
0.7576029878492574,1.3199525556767908,55.11393578480896,310.9254470319121,290.6719834545516,-72.74778039256512,1356.9543656450376
0.8233505652381978,1.2145494789460634,38.929493003575075,192.55402549537496,197.46895873408238,-47.28179544312653,912.0124290240028
0.8948039595283974,1.1175632263932378,28.031949153660747,119.37799188851169,134.8518489760499,-31.327475538256298,612.5459160520563
0.9724583425239527,1.028321683584476,20.683356491348245,74.15301253349045,92.79407215282427,-21.269143969361128,411.5091867585362
1.0568518588617426,0.9462064069007992,15.716635135902415,46.18450127527169,64.52681115927582,-14.871180860513077,276.7627010231166
1.148569355352112,0.8706483377257043,12.349653011341191,28.861850358041778,45.499489871346356,-10.752204865813447,186.500375313301
1.2482464339654866,0.8011238588706832,10.058790898718469,18.10822214910275,32.66231462179082,-8.058337380354647,126.01387346485636
1.356573856552084,0.7371511659097097,8.493511271228853,11.412506455711142,23.975419166778472,-6.2610017362536095,85.42976605191654
1.4743023318194197,0.6782869282760419,7.418941016858743,7.228329155517368,18.075683545996295,-5.032170713386251,58.14381283812507
1.6022477177413665,0.6241232169827432,6.677440499313646,4.602712896806602,14.052126733640778,-4.167545645642488,39.748594386246324
1.7412966754514088,0.574284677676056,6.16295265963752,2.947444667681601,11.295328260548475,-3.539289281672725,27.305930745740174
1.8924128138016005,0.5284259294308707,5.803908506438776,1.8986204706888246,9.396882213716333,-3.0669357468466467,18.857172702482213
2.0566433671689524,0.48622917126197623,5.551839845025384,1.2304441453091297,8.082424635147277,-2.6994664868259113,13.0956025491713
2.235126452786476,0.4474019797641986,5.373790487594773,0.8023188966612619,7.167074677092819,-2.4042445029879196,9.148157925054077
2.4290989578921285,0.41167528261909864,5.247253156519352,0.5263434718227302,6.525793535417271,-2.160164426184062,6.430290446424181
2.639905111353582,0.37880149392462864,5.15678552266645,0.3473131189886214,6.073659200724666,-1.953398059834948,4.549509971099041
2.8690057991701874,0.34855279842558473,5.0917427839773035,0.2303894747415639,5.752731523078624,-1.7747411962185669,3.2412679028936964
3.117988688408465,0.3207195727545877,5.044752862151309,0.15347889076823676,5.52329830747615,-1.6179509826016512,2.326337511959764
3.388579229730046,0.2951089327427843,5.010685729097635,0.1025049851955138,5.358031992874939,-1.4786981178235032,1.6825269439380008
3.6826526147594625,0.27154339673314976,4.98595204827969,0.06846233694228486,5.238075052432738,-1.3539023551384723,1.2259767532185608
4.002246771156397,0.24985965563314405,4.968022354578413,0.04556819997714726,5.15039753580436,-1.2413083546927237,0.8988578398216872
4.349576485448127,0.22990744118320114,4.955095512925139,0.0300936495579851,5.085990143403867,-1.1392133301949803,0.6612954248907954
4.727048751493381,0.21154848459814962,4.94587001476987,0.019618524946448813,5.038607738624123,-1.0462913066439938,0.48600979869917194
5.1372794509424535,0.19465555836495252,4.939387608003452,0.012554400845776996,5.003883073487357,-0.9614792528168392,0.354639372197596
5.5831114812890075,0.1791115945564325,4.934928518056584,0.00784012715581061,4.978700821994956,-0.8839029158911271,0.25507705469607345
6.06763445714106,0.16480887355089263,4.931943235621173,0.00475010038099038,4.960765108367749,-0.8128280090796701,0.17944091020183348
6.594206121240758,0.15164827753546795,4.9300092636668005,0.0027761699125124282,4.948315900297494,-0.747627413068971,0.12251068522317611
7.166475613611297,0.13953860361998563,4.9288036496273095,0.001556470225765185,4.939958055543568,-0.6877583787860836,0.08058080169348612
7.788408760086187,0.1283959318012135,4.928084360241553,0.0008326069128102874,4.934569043214993,-0.6327459834282014,0.050712709871447714
8.464315555470094,0.11814304339749555,4.927675821866483,0.00042269477654068623,4.931253643838772,-0.5821706184715615,0.030342396577509593
9.198880031789738,0.10870888592352254,4.927456083986421,0.00020256682391512246,4.929319471898037,-0.5356582613272469,0.01715467124796532
9.997192718621445,0.10002808069682728,4.927344758820623,9.113066304357616e-05,4.928255809621645,-0.49287283915639823,0.009109913392535418
10.864785920445637,0.09204046976371379,4.927291927970746,3.8264910542594074e-05,4.927707668032056,-0.4535102637133825,0.004516598970383256
11.807672055499935,0.0846906990048226,4.9272685800407325,1.4904025774252087e-05,4.927444561889382,-0.4172938202281493,0.0020774695741465616
