name,hubtype,quality,distance,n_points,vflat_obs,evflat_obs,vflat_bst,tf_err_pct,rms_km_s,rms_pct,chi2_red,f_dark_r5,f_dark_r10,f_dark_r20
UGC06930,Sd,1,18.0000,10,107.2000,5.1000,116.6016,8.7702,8.0163,7.4779,1.4314,0.6629,0.7051,nan
UGC06973,Sab,3,18.0000,9,174.2000,6.2000,161.0374,7.5561,37.1949,21.3519,64.8963,0.1390,nan,nan
UGC06983,Scd,1,18.0000,17,109.0000,5.8000,109.2881,0.2643,12.8137,11.7557,7.8053,0.6870,0.7449,nan
UGC07089,Sdm,2,18.0000,12,0.0000,0.0000,88.1077,inf,10.8424,inf,5.3498,0.7141,nan,nan
UGC07125,Sm,1,19.8000,13,65.2000,2.1000,101.6952,55.9743,27.0744,41.5251,109.2388,0.7627,0.8136,nan
UGC07151,Scd,1,6.8700,11,73.5000,2.8000,80.2864,9.2332,4.3904,5.9733,3.6691,0.6933,nan,nan
UGC07232,Im,2,2.8300,4,0.0000,0.0000,34.9992,inf,4.9053,inf,2.2096,nan,nan,nan
UGC07261,Sdm,2,13.1000,7,74.7000,3.4000,78.5447,5.1468,5.7071,7.6400,1.0167,0.7379,nan,nan
UGC07323,Sdm,1,8.0000,10,0.0000,0.0000,88.5169,inf,4.7324,inf,1.4953,0.6393,nan,nan
UGC07399,Sdm,1,8.4300,10,103.0000,3.3000,71.6869,30.4011,30.9628,30.0610,98.2358,0.7614,nan,nan
UGC07524,Sm,1,4.7400,31,79.5000,3.6000,94.0428,18.2929,5.3553,6.7362,2.7701,0.7772,0.7778,nan
UGC07559,Im,2,4.9700,7,0.0000,0.0000,43.9548,inf,8.9042,inf,7.5994,nan,nan,nan
UGC07577,Im,2,2.5900,9,0.0000,0.0000,31.4083,inf,12.2264,inf,14.8756,nan,nan,nan
UGC07603,Sd,1,4.7000,12,61.6000,2.8000,53.0906,13.8139,9.0669,14.7190,9.8429,nan,nan,nan
UGC07608,Im,1,8.2100,8,0.0000,0.0000,59.9228,inf,9.3394,inf,1.9489,nan,nan,nan
UGC07690,Im,2,8.1100,7,57.4000,3.2000,62.8306,9.4610,5.4056,9.4174,1.5730,nan,nan,nan
UGC07866,Im,2,4.5700,7,0.0000,0.0000,41.5228,inf,6.5902,inf,2.6219,nan,nan,nan
UGC08286,Scd,1,6.5000,17,82.4000,2.3000,75.4305,8.4581,14.2749,17.3239,45.0447,0.7494,nan,nan
UGC08490,Sm,1,4.6500,30,78.6000,3.8000,72.4666,7.8033,12.3664,15.7333,11.2314,0.7627,0.8607,nan
UGC08550,Sd,1,6.7000,11,56.9000,1.9000,59.1384,3.9339,5.0520,8.8788,5.3656,0.8226,nan,nan
UGC08699,Sab,2,39.3000,41,182.4000,6.9000,156.6648,14.1092,24.9841,13.6974,33.8276,0.2254,0.4278,0.6809
UGC08837,Im,2,7.2100,8,0.0000,0.0000,60.8886,inf,12.3975,inf,27.6125,nan,nan,nan
UGC09037,Scd,2,83.6000,22,152.3000,9.6000,180.1865,18.3103,23.8909,15.6867,17.4787,0.3191,0.4514,0.6238
UGC09133,Sab,1,57.1000,68,226.8000,4.2000,245.5630,8.2729,26.5135,11.6903,41.4503,0.0305,0.1367,0.3841
UGC09992,Im,2,10.7000,5,33.6000,3.3000,53.3333,58.7300,13.2212,39.3489,5.4565,nan,nan,nan
UGC10310,Sm,1,15.2000,7,71.4000,3.9000,82.6401,15.7424,6.2258,8.7196,1.5139,0.7400,nan,nan
