17 3 01232302010123120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01232302010123130 k=12 r=2 ed=(2, 2) Nc=4
17 3 01232302301021023 k=12 r=2 ed=(2, 2) Nc=4
17 3 01232302301023021 k=12 r=2 ed=(2, 2) Nc=4
17 3 01232302310121023 k=12 r=2 ed=(2, 2) Nc=4
17 3 01232302310123120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01232303010121230 k=12 r=2 ed=(2, 2) Nc=4
18 0 012123030301212130 k=12 r=2 ed=(2, 2) Nc=4
18 0 012123203010131232 k=12 r=2 ed=(2, 2) Nc=4
18 0 012123203031012103 k=12 r=2 ed=(2, 2) Nc=4
18 0 012123203031031202 k=12 r=2 ed=(2, 2) Nc=4
18 0 012123230310101232 k=12 r=2 ed=(2, 2) Nc=4
18 0 012132030201312130 k=12 r=2 ed=(2, 2) Nc=4
18 0 012132030201321320 k=12 r=2 ed=(2, 2) Nc=4
18 0 012132030210121323 k=12 r=2 ed=(2, 2) Nc=4
18 0 012132303021012103 k=12 r=2 ed=(2, 2) Nc=4
18 0 012132303210121023 k=12 r=2 ed=(2, 2) Nc=4
18 0 012312030203121320 k=12 r=2 ed=(2, 2) Nc=4
18 0 012312031020120313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012312031020310312 k=12 r=2 ed=(2, 2) Nc=4
18 0 012312031030120213 k=12 r=2 ed=(2, 2) Nc=4
18 0 012312031030310212 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031020120313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031020210313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031020212313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031030120213 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031030210213 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031032120213 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031202120313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313031230212013 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313201202012313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313201202132310 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313201232012013 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313201232132010 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313230202012313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313230202102313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313230232012103 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313230232102103 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231020102313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231032010213 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231202010313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231202012313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231202102313 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231230102013 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231232012013 k=12 r=2 ed=(2, 2) Nc=4
18 0 012313231232102013 k=12 r=2 ed=(2, 2) Nc=4
18 0 012323031010120323 k=12 r=2 ed=(2, 2) Nc=4
18 0 012323031010210323 k=12 r=2 ed=(2, 2) Nc=4
18 0 012323031030120213 k=12 r=2 ed=(2, 2) Nc=4
18 0 012323031030210213 k=12 r=2 ed=(2, 2) Nc=4
18 0 012323201031013202 k=12 r=2 ed=(2, 2) Nc=4
18 1 012123023030313120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012123030303012123 k=12 r=2 ed=(2, 2) Nc=4
18 1 012123203030313120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012123203030313210 k=12 r=2 ed=(2, 2) Nc=4
18 1 012123230303010123 k=12 r=2 ed=(2, 2) Nc=4
18 1 012123230303010213 k=12 r=2 ed=(2, 2) Nc=4
18 1 012132023102013032 k=12 r=2 ed=(2, 2) Nc=4
18 1 012132303030102123 k=12 r=2 ed=(2, 2) Nc=4
18 1 012132303030201213 k=12 r=2 ed=(2, 2) Nc=4
18 1 012132303132101203 k=12 r=2 ed=(2, 2) Nc=4
18 1 012132320132101302 k=12 r=2 ed=(2, 2) Nc=4
18 1 012132323102101032 k=12 r=2 ed=(2, 2) Nc=4
18 1 012132323130101023 k=12 r=2 ed=(2, 2) Nc=4
18 1 012312023102031032 k=12 r=2 ed=(2, 2) Nc=4
18 1 012313020310323120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012313023010323120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012313023102023031 k=12 r=2 ed=(2, 2) Nc=4
18 1 012313030302021213 k=12 r=2 ed=(2, 2) Nc=4
18 1 012313030302321210 k=12 r=2 ed=(2, 2) Nc=4
18 1 012313203010203231 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323020301313120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323020310313120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323023010313120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323023101013032 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323030301012123 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323030301312120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323030310312120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323203010103132 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323203010313120 k=12 r=2 ed=(2, 2) Nc=4
18 1 012323230301010123 k=12 r=2 ed=(2, 2) Nc=4
18 2 012123030201312130 k=14 r=2 ed=(2, 2) Nc=4
18 2 012123030231012103 k=14 r=2 ed=(2, 2) Nc=4
18 2 012123030301012123 k=14 r=2 ed=(2, 2) Nc=4
18 2 012123030301312120 k=14 r=2 ed=(2, 2) Nc=4
18 2 012123203201013132 k=14 r=2 ed=(2, 2) Nc=4
18 2 012123203231013102 k=14 r=2 ed=(2, 2) Nc=4
18 2 012123230201310132 k=14 r=2 ed=(2, 2) Nc=4
18 2 012123230231310102 k=14 r=2 ed=(2, 2) Nc=4
18 2 012132030301012123 k=14 r=2 ed=(2, 2) Nc=4
18 2 012132030321012103 k=14 r=2 ed=(2, 2) Nc=4
18 2 012132303020201213 k=14 r=2 ed=(2, 2) Nc=4
18 2 012132303021201230 k=14 r=2 ed=(2, 2) Nc=4
18 2 012132303202102130 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312031020231213 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312031023231210 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312031202031013 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312031202032013 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312031202032031 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312031203031012 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312301020201213 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312301020301312 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312301023201210 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312301023201310 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312301202301310 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312301202302310 k=14 r=2 ed=(2, 2) Nc=4
18 2 012312301203201310 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313030102321230 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313031202021013 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313031203021012 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201020201213 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201020203231 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201020301312 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201023201210 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201023201310 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201023203210 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201202301310 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313201203201310 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313230102301230 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313231020201213 k=14 r=2 ed=(2, 2) Nc=4
18 2 012313231023201210 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323030201312130 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323031210312031 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323230101301230 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323230201310132 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323230210310132 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323231010310231 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323231201301032 k=14 r=2 ed=(2, 2) Nc=4
18 2 012323231210301032 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123023030313120 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123030303012123 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123203020103132 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123203023103102 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123203030313120 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123203030313210 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123230303010123 k=14 r=2 ed=(2, 2) Nc=4
18 3 012123230303010213 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132020302013132 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132020320213130 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132023020213130 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132030320212130 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132303020212130 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132303030102123 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132303030201213 k=14 r=2 ed=(2, 2) Nc=4
18 3 012132303032101203 k=14 r=2 ed=(2, 2) Nc=4
